"","Month","PM10...µg.m.","COMUNE","Year"
"261","marzo",16.1935483870968,"Borno","2020"
"262","novembre",15.6666666666667,"Borno","2020"
"263","ottobre",5.41935483870968,"Borno","2020"
"264","settembre",6.86666666666667,"Borno","2020"
"265","agosto",14.1612903225806,"Botticino","2020"
"266","aprile",24.0666666666667,"Botticino","2020"
"267","dicembre",30,"Botticino","2020"
"268","febbraio",41.5862068965517,"Botticino","2020"
"269","gennaio",50.5806451612903,"Botticino","2020"
"270","giugno",12.0333333333333,"Botticino","2020"
"271","luglio",14.6666666666667,"Botticino","2020"
"272","maggio",16.2258064516129,"Botticino","2020"
"273","marzo",30.9677419354839,"Botticino","2020"
"274","novembre",41.3333333333333,"Botticino","2020"
"275","ottobre",23.5806451612903,"Botticino","2020"
"276","settembre",18.5666666666667,"Botticino","2020"
"277","agosto",5.54838709677419,"Bovegno","2020"
"278","aprile",17.0333333333333,"Bovegno","2020"
"279","dicembre",11,"Bovegno","2020"
"280","febbraio",22.1034482758621,"Bovegno","2020"
"281","gennaio",27.741935483871,"Bovegno","2020"
"282","giugno",9.1,"Bovegno","2020"
"283","luglio",6.93333333333333,"Bovegno","2020"
"284","maggio",12.3548387096774,"Bovegno","2020"
"285","marzo",19.2258064516129,"Bovegno","2020"
"286","novembre",15.4333333333333,"Bovegno","2020"
"287","ottobre",4.58064516129032,"Bovegno","2020"
"288","settembre",6.23333333333333,"Bovegno","2020"
"289","agosto",12.2258064516129,"Bovezzo","2020"
"290","aprile",22.0333333333333,"Bovezzo","2020"
"291","dicembre",32.5,"Bovezzo","2020"
"292","febbraio",41.8620689655172,"Bovezzo","2020"
"293","gennaio",47.0967741935484,"Bovezzo","2020"
"294","giugno",12,"Bovezzo","2020"
"295","luglio",13.6666666666667,"Bovezzo","2020"
"296","maggio",15.0967741935484,"Bovezzo","2020"
"297","marzo",29.1612903225806,"Bovezzo","2020"
"298","novembre",37.3,"Bovezzo","2020"
"299","ottobre",19.2903225806452,"Bovezzo","2020"
"300","settembre",15.9666666666667,"Bovezzo","2020"
"301","agosto",20.0322580645161,"Brandico","2020"
"302","aprile",22.1333333333333,"Brandico","2020"
"303","dicembre",34.5,"Brandico","2020"
"304","febbraio",31.2758620689655,"Brandico","2020"
"305","gennaio",42.2258064516129,"Brandico","2020"
"306","giugno",12.6333333333333,"Brandico","2020"
"307","luglio",17.1,"Brandico","2020"
"308","maggio",14.8709677419355,"Brandico","2020"
"309","marzo",28.2258064516129,"Brandico","2020"
"310","novembre",52.6666666666667,"Brandico","2020"
"311","ottobre",29.9677419354839,"Brandico","2020"
"312","settembre",26.6666666666667,"Brandico","2020"
"313","agosto",4.09677419354839,"Braone","2020"
"314","aprile",9.8,"Braone","2020"
"315","dicembre",12,"Braone","2020"
"316","febbraio",12.2758620689655,"Braone","2020"
"317","gennaio",17.1935483870968,"Braone","2020"
"318","giugno",5.2,"Braone","2020"
"319","luglio",4.2,"Braone","2020"
"320","maggio",7.41935483870968,"Braone","2020"
"321","marzo",9.93548387096774,"Braone","2020"
"322","novembre",15.2,"Braone","2020"
"323","ottobre",3.64516129032258,"Braone","2020"
"324","settembre",4.93333333333333,"Braone","2020"
"325","agosto",4.16129032258065,"Breno","2020"
"326","aprile",10.0333333333333,"Breno","2020"
"327","dicembre",11.5,"Breno","2020"
"328","febbraio",9.27586206896552,"Breno","2020"
"329","gennaio",13.4838709677419,"Breno","2020"
"330","giugno",5.56666666666667,"Breno","2020"
"331","luglio",4.66666666666667,"Breno","2020"
"332","maggio",8.09677419354839,"Breno","2020"
"333","marzo",9.90322580645161,"Breno","2020"
"334","novembre",13.1333333333333,"Breno","2020"
"335","ottobre",3.83870967741935,"Breno","2020"
"336","settembre",5.26666666666667,"Breno","2020"
"337","agosto",18.9032258064516,"Brescia","2020"
