",""Month"",""PM10...µg.m."",""COMUNE"""
"268,""febbraio"",41.5862068965517,""Botticino"""
"269,""gennaio"",50.5806451612903,""Botticino"""
"270,""giugno"",12.0333333333333,""Botticino"""
"271,""luglio"",14.6666666666667,""Botticino"""
"272,""maggio"",16.2258064516129,""Botticino"""
"273,""marzo"",30.9677419354839,""Botticino"""
"274,""novembre"",41.3333333333333,""Botticino"""
"275,""ottobre"",23.5806451612903,""Botticino"""
"276,""settembre"",18.5666666666667,""Botticino"""
"277,""agosto"",5.54838709677419,""Bovegno"""
"278,""aprile"",17.0333333333333,""Bovegno"""
"279,""dicembre"",11,""Bovegno"""
"280,""febbraio"",22.1034482758621,""Bovegno"""
"281,""gennaio"",27.741935483871,""Bovegno"""
"282,""giugno"",9.1,""Bovegno"""
"283,""luglio"",6.93333333333333,""Bovegno"""
"284,""maggio"",12.3548387096774,""Bovegno"""
"285,""marzo"",19.2258064516129,""Bovegno"""
"286,""novembre"",15.4333333333333,""Bovegno"""
"287,""ottobre"",4.58064516129032,""Bovegno"""
"288,""settembre"",6.23333333333333,""Bovegno"""
"289,""agosto"",12.2258064516129,""Bovezzo"""
"290,""aprile"",22.0333333333333,""Bovezzo"""
"291,""dicembre"",32.5,""Bovezzo"""
"292,""febbraio"",41.8620689655172,""Bovezzo"""
"293,""gennaio"",47.0967741935484,""Bovezzo"""
"294,""giugno"",12,""Bovezzo"""
"295,""luglio"",13.6666666666667,""Bovezzo"""
"296,""maggio"",15.0967741935484,""Bovezzo"""
"297,""marzo"",29.1612903225806,""Bovezzo"""
"298,""novembre"",37.3,""Bovezzo"""
"299,""ottobre"",19.2903225806452,""Bovezzo"""
"300,""settembre"",15.9666666666667,""Bovezzo"""
"301,""agosto"",20.0322580645161,""Brandico"""
"302,""aprile"",22.1333333333333,""Brandico"""
"303,""dicembre"",34.5,""Brandico"""
"304,""febbraio"",31.2758620689655,""Brandico"""
"305,""gennaio"",42.2258064516129,""Brandico"""
"306,""giugno"",12.6333333333333,""Brandico"""
"307,""luglio"",17.1,""Brandico"""
"308,""maggio"",14.8709677419355,""Brandico"""
"309,""marzo"",28.2258064516129,""Brandico"""
"310,""novembre"",52.6666666666667,""Brandico"""
"311,""ottobre"",29.9677419354839,""Brandico"""
"312,""settembre"",26.6666666666667,""Brandico"""
"313,""agosto"",4.09677419354839,""Braone"""
"314,""aprile"",9.8,""Braone"""
"315,""dicembre"",12,""Braone"""
"316,""febbraio"",12.2758620689655,""Braone"""
"317,""gennaio"",17.1935483870968,""Braone"""
"318,""giugno"",5.2,""Braone"""
"319,""luglio"",4.2,""Braone"""
"320,""maggio"",7.41935483870968,""Braone"""
"321,""marzo"",9.93548387096774,""Braone"""
"322,""novembre"",15.2,""Braone"""
"323,""ottobre"",3.64516129032258,""Braone"""
"324,""settembre"",4.93333333333333,""Braone"""
"325,""agosto"",4.16129032258065,""Breno"""
"326,""aprile"",10.0333333333333,""Breno"""
"327,""dicembre"",11.5,""Breno"""
"328,""febbraio"",9.27586206896552,""Breno"""
"329,""gennaio"",13.4838709677419,""Breno"""
"330,""giugno"",5.56666666666667,""Breno"""
"331,""luglio"",4.66666666666667,""Breno"""
"332,""maggio"",8.09677419354839,""Breno"""
"333,""marzo"",9.90322580645161,""Breno"""
"334,""novembre"",13.1333333333333,""Breno"""
"335,""ottobre"",3.83870967741935,""Breno"""
"336,""settembre"",5.26666666666667,""Breno"""
"337,""agosto"",18.9032258064516,""Brescia"""
"338,""aprile"",25.3666666666667,""Brescia"""
"339,""dicembre"",39.5,""Brescia"""
"340,""febbraio"",44.4137931034483,""Brescia"""
"341,""gennaio"",55.7096774193548,""Brescia"""
